id,lat,lng,unverified,description,season_start,season_stop,no_season,quality_rating,yield_rating,author,address,city,state,country,created_at,updated_at,access,import_link,muni,types
293622,38.5719068951799,-121.752580937532,false,[1x] Apple (Malus sylvestris),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:02 UTC,2016-12-03 02:41:00 UTC,,http://fallingfruit.org/imports/96,true,"{""European crabapple""}"
293616,38.5718996108857,-121.751536997209,false,[1x] Apple (Malus sylvestris),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:02 UTC,2016-12-06 13:36:43 UTC,,http://fallingfruit.org/imports/96,true,"{""European crabapple""}"
284863,38.5516914511053,-121.687606748704,false,[1x] European hackberry (Celtis australis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:49 UTC,2016-12-01 06:59:11 UTC,,http://fallingfruit.org/imports/96,true,"{""Mediterranean hackberry""}"
611518,38.55960768370095,-121.72277207670959,false,,August,October,false,,,,,Davis,California,United States,2013-09-23 03:30:24 UTC,2013-09-23 03:30:24 UTC,Private but overhanging,,false,{Fig}
294479,38.5598125061272,-121.7452511367,false,[1x] Fruitless mullberry (Morus alba),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:09 UTC,2016-12-04 04:18:25 UTC,,http://fallingfruit.org/imports/96,true,"{""White mulberry""}"
286364,38.5424692071387,-121.709060451133,false,[1x] Northern hackberry (Celtis occidentalis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:01 UTC,2016-12-04 06:43:09 UTC,,http://fallingfruit.org/imports/96,true,"{""Common hackberry""}"
288767,38.564682,-121.755889,false,[1x] Ginkgo (Ginkgo biloba). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:22 UTC,2016-12-08 16:25:33 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
643,38.54339317565766,-121.74926460598755,false,Just east of the westward walk-in entrance to the hickey pool. Late summer,,,false,,,Fruit Trees in Davis,,Davis,California,United States,2013-02-07 00:20:28 UTC,2014-07-10 17:29:31 UTC,,http://fallingfruit.org/imports/12,false,{Apple}
294463,38.5541156624282,-121.774224883235,false,[1x] Fruitless mullberry (Morus alba),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:09 UTC,2016-12-05 08:27:36 UTC,,http://fallingfruit.org/imports/96,true,"{""White mulberry""}"
289096,38.5516388714727,-121.772916052984,false,[1x] Ginkgo (Ginkgo biloba),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:25 UTC,2016-12-07 23:13:29 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
299785,38.5679830475133,-121.727731639311,false,[1x] Cherry plum (Prunus cerasifera),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:53 UTC,2016-12-03 10:04:52 UTC,,http://fallingfruit.org/imports/96,true,"{""Cherry plum""}"
288739,38.565651,-121.756025,false,[1x] Ginkgo (Ginkgo biloba). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:22 UTC,2016-12-03 12:31:16 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
608,38.560181,-121.739075,false,Season: Summer,,,,,,Fruit Trees in Davis,,Davis,California,United States,2013-02-07 00:20:27 UTC,2016-12-09 03:42:51 UTC,,http://fallingfruit.org/imports/12,false,{Lemon}
299336,38.5476206698629,-121.750260742326,false,[1x] Cherry plum (Prunus cerasifera),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:50 UTC,2016-12-03 03:02:58 UTC,,http://fallingfruit.org/imports/96,true,"{""Cherry plum""}"
284179,38.5501474102462,-121.772230102751,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:43 UTC,2016-12-05 20:00:41 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
283754,38.5503866322419,-121.771993825847,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:40 UTC,2016-12-01 14:33:05 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
1772238,38.543251,-121.751804,false,"Part of the Salad Bowl Garden, which looks to have a variety of produce on a normal year.",,,true,Very Good,Good,,,Davis,California,United States,2021-01-20 18:01:45 UTC,2021-01-21 05:01:04 UTC,Public,,false,"{Rosemary,""Garden sage""}"
286097,38.5467583073669,-121.729003133663,false,[1x] Northern hackberry (Celtis occidentalis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:59 UTC,2016-12-06 17:34:26 UTC,,http://fallingfruit.org/imports/96,true,"{""Common hackberry""}"
288924,38.564515,-121.755892,false,[1x] Ginkgo (Ginkgo biloba). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:23 UTC,2016-12-02 11:57:14 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
297149,38.5592029760567,-121.747297583499,false,[1x] Italian stone pine (Pinus pinea),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:32 UTC,2016-12-07 21:06:22 UTC,,http://fallingfruit.org/imports/96,true,"{""Stone pine""}"
288488,38.544676,-121.738062,false,[1x] Ginkgo Autumn Gold (Ginkgo biloba). Owned by Tree Davis.,,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:19 UTC,2016-12-02 20:45:43 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
283995,38.54008381297,-121.720216404712,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:42 UTC,2016-12-05 13:01:47 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
606271,38.54425937298361,-121.70234262943268,false,"On the west side of the bike path on public property. Half of the tree fell during a storm, but half of an apricot tree is better than none! I picked some last year and they were good.",,,false,Very Good,Very Good,,,Davis,California,United States,2013-06-28 21:39:58 UTC,2013-06-28 21:39:58 UTC,Public,,false,{Apricot}
1067730,38.56147628555079,-121.74774706363678,false,"10/15 Huge tree, left side of the bike path onto suntree apartments behind the fence. Park in Suntree. I got about a dozen fruit today, there were tons of huge fruit on the tree half eaten by squirrels and tons on the ground rotten. Mid/late September is probably the best time for these.",September,October,false,,Very Good,,,Davis,California,United States,2015-10-15 18:24:35 UTC,2015-10-15 18:24:35 UTC,Public,,false,{Pomegranate}
303491,38.5473846625973,-121.704663831825,false,[1x] California laurel (Umbellularia californica),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:01:24 UTC,2016-12-02 09:50:47 UTC,,http://fallingfruit.org/imports/96,true,"{""California laurel""}"
1720105,38.542596,-121.765667,false,,,,false,Excellent,Excellent,j,,Davis,California,United States,2018-02-24 07:37:54 UTC,2018-02-24 07:37:54 UTC,,,false,{Blackberry}
1720064,38.541596,-121.742137,false,,October,December,false,,,j,,Davis,California,United States,2018-02-21 17:19:44 UTC,2018-02-21 17:19:44 UTC,,,false,{Olive}
290250,38.5617598517144,-121.717229614422,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:34 UTC,2016-12-07 19:42:14 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
284031,38.5501633195158,-121.772314967378,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:42 UTC,2016-12-09 15:51:52 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
664478,38.54736191417652,-121.761223149807,false,"Cost Plus World Market: Requires its employees to throw out any damaged item, even if it's just a scratch, so you may be lucky to find a chair or something out there.",,,true,,,,,Davis,California,United States,2014-02-18 01:26:12 UTC,2014-03-19 22:20:13 UTC,,http://fallingfruit.org/imports/309,false,"{""Dumpster (non-edible)""}"
290292,38.5617457561374,-121.717153980724,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:34 UTC,2016-12-08 03:28:24 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
289595,38.5660229465524,-121.718834748007,false,[1x] Ginkgo (Ginkgo biloba),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:29 UTC,2016-12-02 07:41:26 UTC,,http://fallingfruit.org/imports/96,true,{Ginkgo}
283747,38.5443617646386,-121.744668462135,false,[1x] Strawberry madrone (Arbutus unedo),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:40 UTC,2016-12-01 06:59:08 UTC,,http://fallingfruit.org/imports/96,true,"{""Strawberry tree""}"
284597,38.5569518136408,-121.730119649562,false,[1x] European hackberry (Celtis australis),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:58:47 UTC,2016-12-05 13:44:47 UTC,,http://fallingfruit.org/imports/96,true,"{""Mediterranean hackberry""}"
301410,38.5693999049761,-121.727150566427,false,[1x] Roble negro (Quercus ilex),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:01:07 UTC,2016-12-03 08:59:39 UTC,,http://fallingfruit.org/imports/96,true,"{""Holm oak""}"
291389,38.5387830650809,-121.720440910646,false,[1x] Hind walnut (Juglans hindsii),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:44 UTC,2016-12-06 02:46:16 UTC,,http://fallingfruit.org/imports/96,true,"{""Northern california walnut""}"
290528,38.5606715918961,-121.715831032544,false,[1x] Honeylocust (Gleditsia triacanthos),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:36 UTC,2016-12-07 23:35:44 UTC,,http://fallingfruit.org/imports/96,true,"{""Honey locust""}"
286500,38.5458268894175,-121.744831897781,true,[1x] Hackberry (Celtis sp),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 06:59:03 UTC,2016-12-02 02:41:49 UTC,,http://fallingfruit.org/imports/96,true,{Hackberry}
294453,38.5588975227824,-121.746651966937,false,[1x] Fruitless mullberry (Morus alba),,,,,,Greenprint Maps,,Davis,California,United States,2013-02-19 07:00:09 UTC,2016-12-03 20:52:41 UTC,,http://fallingfruit.org/imports/96,true,"{""White mulberry""}"
